type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38
bb_id,13,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,14,0,26,26,26,3407872,26,26,26,26,1686694,1686694,1324370,234,234,208,143,,,,,,,,,,,,,,,,,,,,,,,
csv,14,0,98078277,98078278,98078468,99520260,99520263,99520264,98078264,98078267,100000008,99999994,99999951,98078456,98078466,98078448,98078462,,,,,,,,,,,,,,,,,,,,,,,
bb_id,14,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,15,0,26,26,26,3392149,25,25,26,26,1691031,1691032,1328313,234,234,208,119,,,,,,,,,,,,,,,,,,,,,,,
csv,15,0,98730962,98730963,98731165,100000004,96297719,96297720,98730949,98730952,98730918,98730946,98730941,98731153,98731163,98731145,98731159,,,,,,,,,,,,,,,,,,,,,,,
bb_id,15,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,16,0,26,26,26,3348515,26,26,26,26,1703936,1703936,1338516,234,234,208,137,,,,,,,,,,,,,,,,,,,,,,,
csv,16,0,99383880,99383881,99384089,100000001,96953351,96953352,99383867,99383870,99383836,99383864,99383859,99384077,99384087,99384069,99384083,,,,,,,,,,,,,,,,,,,,,,,
bb_id,16,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,17,0,25,25,25,3351880,26,26,25,25,1703373,1703372,1337381,225,225,200,136,,,,,,,,,,,,,,,,,,,,,,,
csv,17,0,96151724,96151725,96151915,97593707,97593710,97593711,96151711,96151714,99999997,99999983,100000020,96151903,96151913,96151895,96151909,,,,,,,,,,,,,,,,,,,,,,,
bb_id,17,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,18,0,26,26,26,3407872,26,26,26,26,1685759,1685759,1325140,234,234,208,153,,,,,,,,,,,,,,,,,,,,,,,
csv,18,0,96821207,96821208,96821410,98263202,98263205,98263206,96821194,96821197,99999990,99999976,100000013,96821398,96821408,96821390,96821404,,,,,,,,,,,,,,,,,,,,,,,
bb_id,18,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,19,0,26,26,26,3407872,26,26,26,26,1686348,1686348,1324648,239,239,213,157,,,,,,,,,,,,,,,,,,,,,,,
csv,19,0,97477148,97477149,97477346,98919138,98919141,98919142,97477135,97477138,100000007,99999993,99999988,97477334,97477344,97477326,97477340,,,,,,,,,,,,,,,,,,,,,,,
bb_id,19,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,20,0,26,26,26,3407872,26,26,26,26,1685985,1685986,1324946,260,260,234,96,,,,,,,,,,,,,,,,,,,,,,,
csv,20,0,98141155,98141156,98141371,99583163,99583166,99583167,98141142,98141145,99999974,100000002,99999997,98141359,98141369,98141351,98141365,,,,,,,,,,,,,,,,,,,,,,,
bb_id,20,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,21,0,26,26,26,3386863,25,25,26,26,1692679,1692679,1329461,260,260,234,110,,,,,,,,,,,,,,,,,,,,,,,
csv,21,0,98789106,98789107,98789316,100000009,96356369,96356370,98789093,98789096,98789085,98789090,98789066,98789304,98789314,98789296,98789310,,,,,,,,,,,,,,,,,,,,,,,
bb_id,21,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,22,0,26,26,26,3349402,26,26,26,26,1703936,1703936,1338076,260,260,234,115,,,,,,,,,,,,,,,,,,,,,,,
csv,22,0,99432267,99432268,99432477,100000000,97004107,97004108,99432254,99432257,99432246,99432251,99432227,99432465,99432475,99432457,99432471,,,,,,,,,,,,,,,,,,,,,,,
bb_id,22,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,23,0,25,25,25,3356279,26,26,25,25,1701619,1701618,1336708,250,250,225,125,,,,,,,,,,,,,,,,,,,,,,,
csv,23,0,96215165,96215166,96215387,97657179,97657182,97657183,96215152,96215155,100000013,99999999,99999975,96215375,96215385,96215367,96215381,,,,,,,,,,,,,,,,,,,,,,,
bb_id,23,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,24,0,26,26,26,3407872,26,26,26,26,1686198,1686198,1324759,260,260,234,139,,,,,,,,,,,,,,,,,,,,,,,
csv,24,0,96868966,96868967,96869176,98310968,98310971,98310972,96868953,96868956,99999978,99999964,100000001,96869164,96869174,96869156,96869170,,,,,,,,,,,,,,,,,,,,,,,
bb_id,24,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,25,0,26,26,26,3407872,26,26,26,26,1686461,1686461,1324546,260,260,234,125,,,,,,,,,,,,,,,,,,,,,,,
csv,25,0,97518433,97518434,97518661,98960453,98960456,98960457,97518420,97518423,99999992,99999978,100000015,97518649,97518659,97518641,97518655,,,,,,,,,,,,,,,,,,,,,,,
bb_id,25,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,26,0,26,26,26,3407872,26,26,26,26,1686473,1686473,1324533,260,260,234,135,,,,,,,,,,,,,,,,,,,,,,,
csv,26,0,98164566,98164567,98164788,99606580,99606583,99606584,98164553,98164556,99999981,99999967,100000004,98164776,98164786,98164768,98164782,,,,,,,,,,,,,,,,,,,,,,,
bb_id,26,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,27,0,26,26,26,3384830,25,25,26,26,1693393,1693394,1329835,260,260,234,141,,,,,,,,,,,,,,,,,,,,,,,
csv,27,0,98811453,98811454,98811675,100000005,96384558,96384559,98811440,98811443,98811409,98811437,98811432,98811663,98811673,98811655,98811669,,,,,,,,,,,,,,,,,,,,,,,
bb_id,27,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,28,0,26,26,26,3349996,26,26,26,26,1703936,1703936,1337781,260,260,234,157,,,,,,,,,,,,,,,,,,,,,,,
csv,28,0,99448079,99448080,99448307,100000001,97017642,97017643,99448066,99448069,99448035,99448063,99448058,99448295,99448305,99448287,99448301,,,,,,,,,,,,,,,,,,,,,,,
bb_id,28,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,29,0,25,25,25,3357718,26,26,25,25,1700920,1700920,1336590,250,250,225,150,,,,,,,,,,,,,,,,,,,,,,,
csv,29,0,96239137,96239138,96239347,97681139,97681142,97681143,96239124,96239127,99999997,100000002,99999978,96239335,96239345,96239327,96239341,,,,,,,,,,,,,,,,,,,,,,,
bb_id,29,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,30,0,26,26,26,3407872,26,26,26,26,1686471,1686470,1324538,260,260,234,124,,,,,,,,,,,,,,,,,,,,,,,
csv,30,0,96886505,96886506,96886709,98328501,98328504,98328505,96886492,96886495,99999987,99999973,100000010,96886697,96886707,96886689,96886703,,,,,,,,,,,,,,,,,,,,,,,
bb_id,30,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,31,0,26,26,26,3407872,26,26,26,26,1686867,1686867,1324207,260,260,234,138,,,,,,,,,,,,,,,,,,,,,,,
csv,31,0,97518883,97518884,97519105,98960897,98960900,98960901,97518870,97518873,100000010,99999996,99999972,97519093,97519103,97519085,97519099,,,,,,,,,,,,,,,,,,,,,,,
bb_id,31,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,32,0,26,26,26,3407872,26,26,26,26,1686197,1686197,1324760,260,260,234,140,,,,,,,,,,,,,,,,,,,,,,,
csv,32,0,98177011,98177012,98177227,99619019,99619022,99619023,98176998,98177001,99999988,99999974,100000011,98177215,98177225,98177207,98177221,,,,,,,,,,,,,,,,,,,,,,,
bb_id,32,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,33,0,26,26,26,3383510,25,25,26,26,1693689,1693690,1330217,260,260,234,159,,,,,,,,,,,,,,,,,,,,,,,
csv,33,0,98825965,98825966,98826193,100000003,96398219,96398220,98825952,98825955,98825921,98825949,98825944,98826181,98826191,98826173,98826187,,,,,,,,,,,,,,,,,,,,,,,
bb_id,33,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,34,0,26,26,26,3348744,26,26,26,26,1703936,1703936,1338379,260,260,234,160,,,,,,,,,,,,,,,,,,,,,,,
csv,34,0,99476389,99476390,99476599,100000001,97044296,97044297,99476376,99476379,99476345,99476373,99476368,99476587,99476597,99476579,99476593,,,,,,,,,,,,,,,,,,,,,,,
bb_id,34,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,35,0,25,25,25,3360290,26,26,25,25,1700737,1700736,1335513,250,250,225,145,,,,,,,,,,,,,,,,,,,,,,,
csv,35,0,96248395,96248396,96248611,97690403,97690406,97690407,96248382,96248385,99999988,99999974,100000011,96248599,96248609,96248591,96248605,,,,,,,,,,,,,,,,,,,,,,,
bb_id,35,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,36,0,26,26,26,3407872,26,26,26,26,1686652,1686652,1324377,260,260,234,167,,,,,,,,,,,,,,,,,,,,,,,
csv,36,0,96894079,96894080,96894313,98336105,98336108,98336109,96894066,96894069,100000009,99999995,99999971,96894301,96894311,96894293,96894307,,,,,,,,,,,,,,,,,,,,,,,
bb_id,36,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,37,0,26,26,26,3407872,26,26,26,26,1685705,1685705,1325160,260,260,234,165,,,,,,,,,,,,,,,,,,,,,,,
csv,37,0,97564387,97564388,97564615,99006407,99006410,99006411,97564374,97564377,100000013,99999999,99999994,97564603,97564613,97564595,97564609,,,,,,,,,,,,,,,,,,,,,,,
bb_id,37,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,38,0,26,26,26,3407872,26,26,26,26,1686606,1686606,1324410,260,260,234,187,,,,,,,,,,,,,,,,,,,,,,,
csv,38,0,98206791,98206792,98207031,99648823,99648826,99648827,98206778,98206781,99999991,99999977,100000014,98207019,98207029,98207011,98207025,,,,,,,,,,,,,,,,,,,,,,,
bb_id,38,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,39,0,26,26,26,3378374,25,25,26,26,1694444,1694445,1332043,270,270,244,153,,,,,,,,,,,,,,,,,,,,,,,
csv,39,0,98882467,98882468,98882690,100000004,96451524,96451525,98882454,98882457,98882423,98882451,98882446,98882678,98882688,98882670,98882684,,,,,,,,,,,,,,,,,,,,,,,
bb_id,39,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
