type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38
bbv,61,0,26,26,26,3407872,26,26,26,26,1686131,1686131,1324791,286,286,260,147,,,,,,,,,,,,,,,,,,,,,,,
csv,61,0,97702186,97702187,97702415,99144207,99144210,99144211,97702173,97702176,99999983,99999969,100000006,97702403,97702413,97702395,97702409,,,,,,,,,,,,,,,,,,,,,,,
bb_id,61,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,62,0,26,26,26,3407872,26,26,26,26,1686473,1686473,1324510,286,286,260,141,,,,,,,,,,,,,,,,,,,,,,,
csv,62,0,98351962,98351963,98352209,99794001,99794004,99794005,98351949,98351952,100000005,99999991,99999929,98352197,98352207,98352189,98352203,,,,,,,,,,,,,,,,,,,,,,,
bb_id,62,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,63,0,26,26,26,3365595,25,25,26,26,1698380,1698381,1334888,286,286,260,161,,,,,,,,,,,,,,,,,,,,,,,
csv,63,0,99023014,99023015,99023261,100000006,96591013,96591014,99023001,99023004,99022970,99022998,99022993,99023249,99023259,99023241,99023255,,,,,,,,,,,,,,,,,,,,,,,
bb_id,63,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,64,0,26,26,26,3349620,26,26,26,26,1703936,1703936,1337940,286,286,260,155,,,,,,,,,,,,,,,,,,,,,,,
csv,64,0,99663784,99663785,99664031,100000004,97236130,97236131,99663771,99663774,99663740,99663768,99663763,99664019,99664029,99664011,99664025,,,,,,,,,,,,,,,,,,,,,,,
bb_id,64,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,65,0,25,25,25,3377329,26,26,25,25,1695446,1695445,1331714,275,275,250,145,,,,,,,,,,,,,,,,,,,,,,,
csv,65,0,96442444,96442445,96442679,97884471,97884474,97884475,96442431,96442434,99999986,99999972,100000009,96442667,96442677,96442659,96442673,,,,,,,,,,,,,,,,,,,,,,,
bb_id,65,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,66,0,26,26,26,3407872,26,26,26,26,1686219,1686219,1324712,286,286,260,173,,,,,,,,,,,,,,,,,,,,,,,
csv,66,0,97102110,97102111,97102345,98544137,98544140,98544141,97102097,97102100,99999994,99999980,100000017,97102333,97102343,97102325,97102339,,,,,,,,,,,,,,,,,,,,,,,
bb_id,66,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,67,0,26,26,26,3407872,26,26,26,26,1686421,1686421,1324546,286,286,260,169,,,,,,,,,,,,,,,,,,,,,,,
csv,67,0,97751957,97751958,97752204,99193996,99193999,99194000,97751944,97751947,100000013,99999999,99999994,97752192,97752202,97752184,97752198,,,,,,,,,,,,,,,,,,,,,,,
bb_id,67,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,68,0,26,26,26,3407872,26,26,26,26,1686518,1686518,1324461,286,286,260,188,,,,,,,,,,,,,,,,,,,,,,,
csv,68,0,98395074,98395075,98395327,99837119,99837122,99837123,98395061,98395064,99999992,99999978,100000015,98395315,98395325,98395307,98395321,,,,,,,,,,,,,,,,,,,,,,,
bb_id,68,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,69,0,26,26,26,3364576,25,25,26,26,1699540,1699541,1334417,286,286,260,161,,,,,,,,,,,,,,,,,,,,,,,
csv,69,0,99034239,99034240,99034468,100000004,96605366,96605367,99034226,99034229,99034218,99034223,99034199,99034456,99034466,99034448,99034462,,,,,,,,,,,,,,,,,,,,,,,
bb_id,69,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,70,0,26,26,26,3348647,26,26,26,26,1703936,1703936,1338406,286,286,260,153,,,,,,,,,,,,,,,,,,,,,,,
csv,70,0,99685705,99685706,99685946,100000007,97256027,97256028,99685692,99685695,99685661,99685689,99685684,99685934,99685944,99685926,99685940,,,,,,,,,,,,,,,,,,,,,,,
bb_id,70,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,71,0,25,25,25,3379321,26,26,25,25,1695565,1695564,1330657,275,275,250,167,,,,,,,,,,,,,,,,,,,,,,,
csv,71,0,96444311,96444312,96444552,97886344,97886347,97886348,96444298,96444301,100000003,99999989,99999965,96444540,96444550,96444532,96444546,,,,,,,,,,,,,,,,,,,,,,,
bb_id,71,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,72,0,26,26,26,3407872,26,26,26,26,1686127,1686127,1324788,286,286,260,171,,,,,,,,,,,,,,,,,,,,,,,
csv,72,0,97102418,97102419,97102671,98544463,98544466,98544467,97102405,97102408,100000005,99999991,99999986,97102659,97102669,97102651,97102665,,,,,,,,,,,,,,,,,,,,,,,
bb_id,72,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,73,0,26,26,26,3407872,26,26,26,26,1686643,1686643,1324357,286,286,260,189,,,,,,,,,,,,,,,,,,,,,,,
csv,73,0,97740236,97740237,97740495,99182287,99182290,99182291,97740223,97740226,100000004,99999990,99999985,97740483,97740493,97740475,97740489,,,,,,,,,,,,,,,,,,,,,,,
bb_id,73,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,74,0,26,26,26,3407872,26,26,26,26,1686599,1686599,1324397,286,286,260,175,,,,,,,,,,,,,,,,,,,,,,,
csv,74,0,98383032,98383033,98383273,99825065,99825068,99825069,98383019,98383022,100000004,99999990,99999985,98383261,98383271,98383253,98383267,,,,,,,,,,,,,,,,,,,,,,,
bb_id,74,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,75,0,26,26,26,3364531,25,25,26,26,1699210,1699211,1334706,286,286,260,181,,,,,,,,,,,,,,,,,,,,,,,
csv,75,0,99034712,99034713,99034965,100000006,96603562,96603563,99034699,99034702,99034668,99034696,99034691,99034953,99034963,99034945,99034959,,,,,,,,,,,,,,,,,,,,,,,
bb_id,75,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,76,0,26,26,26,3348150,26,26,26,26,1703936,1703936,1338632,286,286,260,197,,,,,,,,,,,,,,,,,,,,,,,
csv,76,0,99691656,99691657,99691903,100000002,97262139,97262140,99691643,99691646,99691612,99691640,99691635,99691891,99691901,99691883,99691897,,,,,,,,,,,,,,,,,,,,,,,
bb_id,76,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,77,0,25,25,25,3379863,26,26,25,25,1694436,1694435,1331324,275,275,250,193,,,,,,,,,,,,,,,,,,,,,,,
csv,77,0,96482335,96482336,96482594,97924386,97924389,97924390,96482322,96482325,99999988,99999974,100000011,96482582,96482592,96482574,96482588,,,,,,,,,,,,,,,,,,,,,,,
bb_id,77,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,78,0,26,26,26,3407872,26,26,26,26,1686991,1686991,1324063,286,286,260,214,,,,,,,,,,,,,,,,,,,,,,,
csv,78,0,97104945,97104946,97105198,98546990,98546993,98546994,97104932,97104935,100000004,99999990,99999985,97105186,97105196,97105178,97105192,,,,,,,,,,,,,,,,,,,,,,,
bb_id,78,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,79,0,26,26,26,3407872,26,26,26,26,1686245,1686245,1324687,305,305,279,124,,,,,,,,,,,,,,,,,,,,,,,
csv,79,0,97765775,97765776,97766017,99207809,99207812,99207813,97765762,97765765,100000003,99999989,99999984,97766005,97766015,97765997,97766011,,,,,,,,,,,,,,,,,,,,,,,
bb_id,79,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,80,0,26,26,26,3407872,26,26,26,26,1686526,1686527,1324454,312,312,286,104,,,,,,,,,,,,,,,,,,,,,,,
csv,80,0,98409306,98409307,98409554,99851346,99851349,99851350,98409293,98409296,99999973,100000001,99999996,98409542,98409552,98409534,98409548,,,,,,,,,,,,,,,,,,,,,,,
bb_id,80,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,81,0,26,26,26,3362672,25,25,26,26,1699946,1699946,1334982,312,312,286,119,,,,,,,,,,,,,,,,,,,,,,,
csv,81,0,99055166,99055167,99055414,100000006,96630111,96630112,99055153,99055156,99055122,99055150,99055145,99055402,99055412,99055394,99055408,,,,,,,,,,,,,,,,,,,,,,,
bb_id,81,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,82,0,26,26,26,3349983,26,26,26,26,1703936,1703936,1337753,312,312,286,124,,,,,,,,,,,,,,,,,,,,,,,
csv,82,0,99691949,99691950,99692191,100000004,97258959,97258960,99691936,99691939,99691905,99691933,99691928,99692179,99692189,99692171,99692185,,,,,,,,,,,,,,,,,,,,,,,
bb_id,82,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,83,0,25,25,25,3379889,26,26,25,25,1694625,1694624,1331151,300,300,275,132,,,,,,,,,,,,,,,,,,,,,,,
csv,83,0,96474748,96474749,96475008,97916800,97916803,97916804,96474735,96474738,99999995,99999981,100000018,96474996,96475006,96474988,96475002,,,,,,,,,,,,,,,,,,,,,,,
bb_id,83,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,84,0,26,26,26,3407872,26,26,26,26,1686954,1686955,1324096,312,312,286,121,,,,,,,,,,,,,,,,,,,,,,,
csv,84,0,97104279,97104280,97104533,98546325,98546328,98546329,97104266,97104269,99999973,100000001,99999996,97104521,97104531,97104513,97104527,,,,,,,,,,,,,,,,,,,,,,,
bb_id,84,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,85,0,26,26,26,3407872,26,26,26,26,1686922,1686921,1324121,312,312,286,131,,,,,,,,,,,,,,,,,,,,,,,
csv,85,0,97735853,97735854,97736113,99177905,99177908,99177909,97735840,97735843,99999995,99999981,100000018,97736101,97736111,97736093,97736107,,,,,,,,,,,,,,,,,,,,,,,
bb_id,85,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,86,0,26,26,26,3407872,26,26,26,26,1686944,1686945,1324098,312,312,286,145,,,,,,,,,,,,,,,,,,,,,,,
csv,86,0,98363636,98363637,98363896,99805688,99805691,99805692,98363623,98363626,99999996,100000001,99999977,98363884,98363894,98363876,98363890,,,,,,,,,,,,,,,,,,,,,,,
bb_id,86,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,87,0,26,26,26,3366769,25,25,26,26,1698699,1698699,1334045,312,312,286,149,,,,,,,,,,,,,,,,,,,,,,,
csv,87,0,99010096,99010097,99010350,100000009,96583776,96583777,99010083,99010086,99010052,99010080,99010075,99010338,99010348,99010330,99010344,,,,,,,,,,,,,,,,,,,,,,,
bb_id,87,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,88,0,26,26,26,3351427,26,26,26,26,1703936,1703936,1337051,312,312,286,167,,,,,,,,,,,,,,,,,,,,,,,
csv,88,0,99630964,99630965,99631236,100000000,97201654,97201655,99630951,99630954,99630943,99630948,99630924,99631224,99631234,99631216,99631230,,,,,,,,,,,,,,,,,,,,,,,
bb_id,88,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,89,0,25,25,25,3374348,26,26,25,25,1696443,1696442,1332303,300,300,275,116,,,,,,,,,,,,,,,,,,,,,,,
csv,89,0,96406215,96406216,96406463,97848255,97848258,97848259,96406202,96406205,100000009,99999995,99999971,96406451,96406461,96406443,96406457,,,,,,,,,,,,,,,,,,,,,,,
bb_id,89,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,90,0,26,26,26,3407872,26,26,26,26,1686413,1686413,1324540,312,312,286,133,,,,,,,,,,,,,,,,,,,,,,,
csv,90,0,97055704,97055705,97055964,98497756,98497759,98497760,97055691,97055694,99999978,99999964,100000001,97055952,97055962,97055944,97055958,,,,,,,,,,,,,,,,,,,,,,,
bb_id,90,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,91,0,26,26,26,3407872,26,26,26,26,1686193,1686193,1324720,312,312,286,143,,,,,,,,,,,,,,,,,,,,,,,
csv,91,0,97714071,97714072,97714319,99156111,99156114,99156115,97714058,97714061,99999998,99999984,100000021,97714307,97714317,97714299,97714313,,,,,,,,,,,,,,,,,,,,,,,
bb_id,91,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,92,0,26,26,26,3407872,26,26,26,26,1686046,1686046,1324839,312,312,286,150,,,,,,,,,,,,,,,,,,,,,,,
csv,92,0,98377203,98377204,98377457,99819249,99819252,99819253,98377190,98377193,99999984,99999970,100000007,98377445,98377455,98377437,98377451,,,,,,,,,,,,,,,,,,,,,,,
bb_id,92,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,93,0,26,26,26,3364309,25,25,26,26,1699049,1699050,1334927,312,312,286,169,,,,,,,,,,,,,,,,,,,,,,,
csv,93,0,99037145,99037146,99037411,100000010,96606501,96606502,99037132,99037135,99037101,99037129,99037124,99037399,99037409,99037391,99037405,,,,,,,,,,,,,,,,,,,,,,,
bb_id,93,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,94,0,26,26,26,3347498,26,26,26,26,1703936,1703936,1338937,312,312,286,142,,,,,,,,,,,,,,,,,,,,,,,
csv,94,0,99701264,99701265,99701524,100000009,97271908,97271909,99701251,99701254,99701220,99701248,99701243,99701512,99701522,99701504,99701518,,,,,,,,,,,,,,,,,,,,,,,
bb_id,94,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,95,0,25,25,25,3380737,26,26,25,25,1694611,1694610,1330751,300,300,275,155,,,,,,,,,,,,,,,,,,,,,,,
csv,95,0,96476198,96476199,96476470,97918262,97918265,97918266,96476185,96476188,99999995,99999981,100000018,96476458,96476468,96476450,96476464,,,,,,,,,,,,,,,,,,,,,,,
bb_id,95,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,96,0,26,26,26,3407872,26,26,26,26,1686336,1686336,1324595,312,312,286,167,,,,,,,,,,,,,,,,,,,,,,,
csv,96,0,97124434,97124435,97124694,98566486,98566489,98566490,97124421,97124424,99999984,99999970,100000007,97124682,97124692,97124674,97124688,,,,,,,,,,,,,,,,,,,,,,,
bb_id,96,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,97,0,26,26,26,3407872,26,26,26,26,1686454,1686454,1324495,312,312,286,177,,,,,,,,,,,,,,,,,,,,,,,
csv,97,0,97773620,97773621,97773886,99215678,99215681,99215682,97773607,97773610,100000009,99999995,99999990,97773874,97773884,97773866,97773880,,,,,,,,,,,,,,,,,,,,,,,
bb_id,97,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,98,0,26,26,26,3407872,26,26,26,26,1686559,1686559,1324403,312,312,286,197,,,,,,,,,,,,,,,,,,,,,,,
csv,98,0,98418916,98418917,98419194,99860986,99860989,99860990,98418903,98418906,99999985,99999971,100000008,98419182,98419192,98419174,98419188,,,,,,,,,,,,,,,,,,,,,,,
bb_id,98,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,99,0,26,26,26,3360701,25,25,26,26,1700184,1700185,1335728,312,312,286,119,,,,,,,,,,,,,,,,,,,,,,,
csv,99,0,99076839,99076840,99077099,100000010,96647437,96647438,99076826,99076829,99076795,99076823,99076818,99077087,99077097,99077079,99077093,,,,,,,,,,,,,,,,,,,,,,,
bb_id,99,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,100,0,26,26,26,3348569,26,26,26,26,1703936,1703936,1338427,312,312,286,133,,,,,,,,,,,,,,,,,,,,,,,
csv,100,0,99729174,99729175,99729428,100000006,97302624,97302625,99729161,99729164,99729130,99729158,99729153,99729416,99729426,99729408,99729422,,,,,,,,,,,,,,,,,,,,,,,
bb_id,100,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,101,0,25,25,25,3383274,26,26,25,25,1693681,1693680,1330310,300,300,275,137,,,,,,,,,,,,,,,,,,,,,,,
csv,101,0,96510731,96510732,96510985,97952777,97952780,97952781,96510718,96510721,99999981,99999967,100000004,96510973,96510983,96510965,96510979,,,,,,,,,,,,,,,,,,,,,,,
bb_id,101,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,102,0,26,26,26,3407872,26,26,26,26,1686775,1686775,1324237,312,312,286,151,,,,,,,,,,,,,,,,,,,,,,,
csv,102,0,97145418,97145419,97145672,98587464,98587467,98587468,97145405,97145408,99999995,99999981,100000018,97145660,97145670,97145652,97145666,,,,,,,,,,,,,,,,,,,,,,,
bb_id,102,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,103,0,26,26,26,3407872,26,26,26,26,1685849,1685850,1324995,312,312,286,174,,,,,,,,,,,,,,,,,,,,,,,
csv,103,0,97816275,97816276,97816547,99258339,99258342,99258343,97816262,97816265,99999973,100000001,99999996,97816535,97816545,97816527,97816541,,,,,,,,,,,,,,,,,,,,,,,
bb_id,103,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,104,0,26,26,26,3407872,26,26,26,26,1686474,1686473,1324489,312,312,286,138,,,,,,,,,,,,,,,,,,,,,,,
csv,104,0,98463072,98463073,98463326,99905118,99905121,99905122,98463059,98463062,99999989,99999975,100000012,98463314,98463324,98463306,98463320,,,,,,,,,,,,,,,,,,,,,,,
bb_id,104,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,105,0,26,26,26,3356460,25,25,26,26,1701365,1701366,1336770,312,312,286,160,,,,,,,,,,,,,,,,,,,,,,,
csv,105,0,99123490,99123491,99123750,100000010,96694548,96694549,99123477,99123480,99123446,99123474,99123469,99123738,99123748,99123730,99123744,,,,,,,,,,,,,,,,,,,,,,,
bb_id,105,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,106,0,26,26,26,3348581,26,26,26,26,1703936,1703936,1338412,312,312,286,169,,,,,,,,,,,,,,,,,,,,,,,
csv,106,0,99775690,99775691,99775950,100000009,97349002,97349003,99775677,99775680,99775669,99775674,99775631,99775938,99775948,99775930,99775944,,,,,,,,,,,,,,,,,,,,,,,
bb_id,106,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,107,0,25,25,25,3387503,26,26,25,25,1691924,1691923,1329730,300,300,275,171,,,,,,,,,,,,,,,,,,,,,,,
csv,107,0,96574255,96574256,96574521,98016313,98016316,98016317,96574242,96574245,99999981,99999967,100000004,96574509,96574519,96574501,96574515,,,,,,,,,,,,,,,,,,,,,,,
bb_id,107,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,108,0,26,26,26,3407872,26,26,26,26,1686406,1686406,1324528,312,312,286,203,,,,,,,,,,,,,,,,,,,,,,,
csv,108,0,97224186,97224187,97224470,98666262,98666265,98666266,97224173,97224176,99999989,99999975,100000012,97224458,97224468,97224450,97224464,,,,,,,,,,,,,,,,,,,,,,,
bb_id,108,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,109,0,26,26,26,3407872,26,26,26,26,1686354,1686355,1324588,312,312,286,135,,,,,,,,,,,,,,,,,,,,,,,
csv,109,0,97874594,97874595,97874854,99316646,99316649,99316650,97874581,97874584,99999973,100000001,99999996,97874842,97874852,97874834,97874848,,,,,,,,,,,,,,,,,,,,,,,
bb_id,109,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,110,0,26,26,26,3407872,26,26,26,26,1686776,1686775,1324233,312,312,286,161,,,,,,,,,,,,,,,,,,,,,,,
csv,110,0,98511477,98511478,98511743,99953535,99953538,99953539,98511464,98511467,100000000,99999986,99999981,98511731,98511741,98511723,98511737,,,,,,,,,,,,,,,,,,,,,,,
bb_id,110,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,111,0,26,26,26,3352943,25,25,26,26,1702684,1702685,1337360,312,312,286,169,,,,,,,,,,,,,,,,,,,,,,,
csv,111,0,99162169,99162170,99162435,100000008,96731318,96731319,99162156,99162159,99162125,99162153,99162148,99162423,99162433,99162415,99162429,,,,,,,,,,,,,,,,,,,,,,,
bb_id,111,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,112,0,26,26,26,3350242,26,26,26,26,1703936,1703936,1337615,312,312,286,179,,,,,,,,,,,,,,,,,,,,,,,
csv,112,0,99796094,99796095,99796366,100000009,97365082,97365083,99796081,99796084,99796073,99796078,99796035,99796354,99796364,99796346,99796360,,,,,,,,,,,,,,,,,,,,,,,
bb_id,112,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,113,0,25,25,25,3389359,26,26,25,25,1691940,1691939,1328824,300,300,275,192,,,,,,,,,,,,,,,,,,,,,,,
csv,113,0,96579589,96579590,96579837,98021629,98021632,98021633,96579576,96579579,100000012,99999998,99999993,96579825,96579835,96579817,96579831,,,,,,,,,,,,,,,,,,,,,,,
bb_id,113,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,114,0,26,26,26,3407872,26,26,26,26,1686562,1686562,1324409,312,312,286,164,,,,,,,,,,,,,,,,,,,,,,,
csv,114,0,97218330,97218331,97218596,98660388,98660391,98660392,97218317,97218320,100000005,99999991,99999967,97218584,97218594,97218576,97218590,,,,,,,,,,,,,,,,,,,,,,,
bb_id,114,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,115,0,26,26,26,3407872,26,26,26,26,1686707,1686707,1324283,312,312,286,187,,,,,,,,,,,,,,,,,,,,,,,
csv,115,0,97858200,97858201,97858466,99300258,99300261,99300262,97858187,97858190,100000000,99999986,99999981,97858454,97858464,97858446,97858460,,,,,,,,,,,,,,,,,,,,,,,
bb_id,115,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,116,0,26,26,26,3407872,26,26,26,26,1687225,1687225,1323853,312,312,286,196,,,,,,,,,,,,,,,,,,,,,,,
csv,116,0,98475767,98475768,98476039,99917831,99917834,99917835,98475754,98475757,100000006,99999992,99999987,98476027,98476037,98476019,98476033,,,,,,,,,,,,,,,,,,,,,,,
bb_id,116,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,117,0,26,26,26,3355810,25,25,26,26,1701710,1701711,1336784,312,312,286,204,,,,,,,,,,,,,,,,,,,,,,,
csv,117,0,99130625,99130626,99130891,100000001,96703960,96703961,99130612,99130615,99130581,99130609,99130604,99130879,99130889,99130871,99130885,,,,,,,,,,,,,,,,,,,,,,,
bb_id,117,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,118,0,26,26,26,3350773,26,26,26,26,1703936,1703936,1337352,312,312,286,213,,,,,,,,,,,,,,,,,,,,,,,
csv,118,0,99758742,99758743,99758984,100000005,97331617,97331618,99758729,99758732,99758698,99758726,99758721,99758972,99758982,99758964,99758978,,,,,,,,,,,,,,,,,,,,,,,
bb_id,118,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,119,0,25,25,25,3385961,26,26,25,25,1692735,1692734,1329813,300,300,275,112,,,,,,,,,,,,,,,,,,,,,,,
csv,119,0,96544479,96544480,96544739,97986531,97986534,97986535,96544466,96544469,100000006,99999992,99999968,96544727,96544737,96544719,96544733,,,,,,,,,,,,,,,,,,,,,,,
bb_id,119,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,120,0,26,26,26,3407872,26,26,26,26,1686346,1686346,1324595,312,312,286,135,,,,,,,,,,,,,,,,,,,,,,,
csv,120,0,97194570,97194571,97194830,98636622,98636625,98636626,97194557,97194560,99999982,99999968,100000005,97194818,97194828,97194810,97194824,,,,,,,,,,,,,,,,,,,,,,,
bb_id,120,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,121,0,26,26,26,3407872,26,26,26,26,1686302,1686302,1324629,312,312,286,145,,,,,,,,,,,,,,,,,,,,,,,
csv,121,0,97847683,97847684,97847949,99289741,99289744,99289745,97847670,97847673,99999988,99999974,100000011,97847937,97847947,97847929,97847943,,,,,,,,,,,,,,,,,,,,,,,
bb_id,121,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,122,0,26,26,26,3407872,26,26,26,26,1686499,1686499,1324465,312,312,286,151,,,,,,,,,,,,,,,,,,,,,,,
csv,122,0,98495962,98495963,98496222,99938014,99938017,99938018,98495949,98495952,99999995,99999981,100000018,98496210,98496220,98496202,98496216,,,,,,,,,,,,,,,,,,,,,,,
bb_id,122,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,123,0,26,26,26,3355248,25,25,26,26,1702262,1702263,1336606,312,312,286,169,,,,,,,,,,,,,,,,,,,,,,,
csv,123,0,99136821,99136822,99137075,100000003,96706407,96706408,99136808,99136811,99136777,99136805,99136800,99137063,99137073,99137055,99137069,,,,,,,,,,,,,,,,,,,,,,,
