machine,input_size,benchmark,rid,run_id,runtime(ns)
summer,A,sp_A,520,1,8005495
summer,A,sp_A,520,2,7951382
summer,A,sp_A,520,0,7914209
summer,A,sp_A,520,4,7800670
summer,A,sp_A,520,3,7966169
summer,A,sp_A,708,2,7755503
summer,A,sp_A,708,1,9132301
summer,A,sp_A,708,3,7852542
summer,A,sp_A,708,4,7773258
summer,A,sp_A,708,0,7817247
summer,A,cg_A,5,2,9398158
summer,A,cg_A,5,1,10443880
summer,A,cg_A,5,4,10281559
summer,A,cg_A,5,3,9548883
summer,A,cg_A,5,0,9716483
summer,A,cg_A,37,1,3527899
summer,A,cg_A,37,2,3502133
summer,A,cg_A,37,0,3679184
summer,A,cg_A,37,3,3506293
summer,A,cg_A,37,4,3532592
summer,A,cg_A,9,2,6961419
summer,A,cg_A,9,1,6859145
summer,A,cg_A,9,4,6959567
summer,A,cg_A,9,3,6898878
summer,A,cg_A,9,0,6841913
summer,A,lu_A,807,1,7264138
summer,A,lu_A,807,2,7255868
summer,A,lu_A,807,0,7247050
summer,A,lu_A,807,3,7244435
summer,A,lu_A,807,4,7232106
summer,A,lu_A,152,1,8319369
summer,A,lu_A,152,2,8326300
summer,A,lu_A,152,0,7677797
summer,A,lu_A,152,3,7549546
summer,A,lu_A,152,4,7864220
summer,A,lu_A,270,1,7788762
summer,A,lu_A,270,2,7687027
summer,A,lu_A,270,0,7730634
summer,A,lu_A,270,4,7729100
summer,A,lu_A,270,3,7728642
summer,A,lu_A,640,1,8832981
summer,A,lu_A,640,2,9020062
summer,A,lu_A,640,0,8192739
summer,A,lu_A,640,3,8747590
summer,A,lu_A,640,4,8573666
summer,A,lu_A,708,0,7770411
summer,A,lu_A,708,4,7640288
summer,A,lu_A,708,3,7798753
summer,A,lu_A,708,1,7815859
summer,A,lu_A,708,2,7703543
summer,A,lu_A,1438,1,7022001
summer,A,lu_A,1438,2,7139018
summer,A,lu_A,1438,0,7236624
summer,A,lu_A,1438,4,7294144
summer,A,lu_A,1438,3,6966201
summer,A,lu_A,1432,1,9189405
summer,A,lu_A,1432,2,9176826
summer,A,lu_A,1432,0,7968485
summer,A,lu_A,1432,4,7673369
summer,A,lu_A,1432,3,7821303
summer,A,lu_A,974,0,7806328
summer,A,lu_A,974,3,7822408
summer,A,lu_A,974,4,7882442
summer,A,lu_A,974,1,7681127
summer,A,lu_A,974,2,7808302
summer,A,lu_A,135,4,7185166
summer,A,lu_A,135,3,7170341
summer,A,lu_A,135,0,7211928
summer,A,lu_A,135,2,7172065
summer,A,lu_A,135,1,7099094
